No Throttle Input - No Load
Trial: 3
Date: 3-31-2023
Time: 10:31 AM
Ambient Temp: 80
Head Temp: 198.5

------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.013000   Ki: 0.025000   Kd: 1.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        10       |  PID I Precision:         70
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change, P Cmd, I Cmd, D Cmd
7293,0.00,0,0,0,0,0.00,0,0,0
7343,0.00,0,0,0,0,0.00,0,0,0
7393,0.00,0,0,0,0,0.00,0,0,0
7443,0.00,0,0,0,0,0.00,0,0,0
7493,0.00,0,0,0,0,0.00,0,0,0
7543,0.00,0,0,0,0,0.00,0,0,0
7593,0.00,0,0,0,0,0.00,0,0,0
7643,0.00,0,0,0,0,0.00,0,0,0
7693,0.00,0,0,0,0,0.00,0,0,0
7743,0.00,0,0,0,0,0.00,0,0,0
7793,0.00,0,0,0,0,0.00,0,0,0
7843,0.00,0,0,0,0,0.00,0,0,0
7894,0.00,0,0,0,0,0.00,0,0,0
7944,0.00,0,0,0,0,0.00,0,0,0
7994,0.00,0,0,0,0,0.00,0,0,0
8044,0.00,0,0,0,0,0.00,0,0,0
8094,0.00,0,0,0,0,0.00,0,0,0
8144,0.00,0,0,0,0,0.00,0,0,0
8194,0.00,0,0,0,0,0.00,0,0,0
8244,0.00,0,0,0,0,0.00,0,0,0
8294,0.00,0,0,0,0,0.00,0,0,0
8344,0.00,0,0,0,0,0.00,0,0,0
8394,0.00,0,0,0,0,0.00,0,0,0
8444,0.00,0,0,0,0,0.00,0,0,0
8494,0.00,0,0,0,0,0.00,0,0,0
8544,0.00,0,0,0,0,0.00,0,0,0
8594,0.00,0,0,0,0,0.00,0,0,0
8644,0.00,0,0,0,0,0.00,0,0,0
8694,0.00,0,0,0,0,0.00,0,0,0
8744,0.00,0,0,0,0,0.00,0,0,0
8794,0.00,0,0,0,0,0.00,0,0,0
8844,0.00,0,0,0,0,0.00,0,0,0
8894,0.00,0,0,0,0,0.00,0,0,0
8944,0.00,0,0,0,0,0.00,0,0,0
8994,0.00,0,0,0,0,0.00,0,0,0
9044,0.00,0,0,0,0,0.00,0,0,0
9094,0.00,0,0,0,0,0.00,0,0,0
9144,0.00,0,0,0,0,0.00,0,0,0
9194,0.00,0,0,0,0,0.00,0,0,0
9244,0.00,0,0,0,0,0.00,0,0,0
9294,0.00,0,0,0,0,0.00,0,0,0
9344,0.00,0,0,0,0,0.00,0,0,0
9394,0.00,0,0,0,0,0.00,0,0,0
9444,0.00,0,0,0,0,0.00,0,0,0
9494,0.00,0,0,0,0,0.00,0,0,0
9544,0.00,0,0,0,0,0.00,0,0,0
9594,0.00,0,0,0,0,0.00,0,0,0
9644,0.00,0,0,0,0,0.00,0,0,0
9694,0.00,0,0,0,0,0.00,0,0,0
9744,0.00,0,0,0,0,0.00,0,0,0
9794,0.00,0,0,0,0,0.00,0,0,0
9844,0.00,0,0,0,0,0.00,0,0,0
9894,0.00,0,0,0,0,0.00,0,0,0
9944,0.00,0,0,0,0,0.00,0,0,0
9994,0.00,0,0,0,0,0.00,0,0,0
10044,inf,0,0,0,0,0.00,0,0,0
10094,inf,0,0,0,0,0.00,0,0,0
10144,516.80,0,0,0,0,0.00,0,0,0
10194,516.80,0,0,0,0,0.00,0,0,0
10244,1024.24,0,0,0,0,0.00,0,0,0
10294,1030.72,0,0,0,0,0.00,0,0,0
10344,1463.84,0,0,0,0,0.00,0,0,0
10394,1697.22,0,0,0,0,0.00,0,0,0
10444,1914.24,0,0,0,0,0.00,0,0,0
10494,1924.80,0,0,0,0,0.00,0,0,0
10544,2099.96,0,0,0,0,0.00,0,0,0
10594,2240.14,0,0,0,0,0.00,0,0,0
10644,2347.42,0,0,0,0,0.00,0,0,0
10694,2441.80,0,0,0,0,0.00,0,0,0
10744,2504.17,0,0,0,0,0.00,0,0,0
10795,2585.76,0,0,0,0,0.00,0,0,0
10845,2649.71,0,0,0,0,0.00,0,0,0
10895,2788.10,0,0,0,0,0.00,0,0,0
10945,2837.68,0,0,0,0,0.00,0,0,0
10995,2800.60,0,0,0,0,0.00,0,0,0
11045,2838.76,0,0,0,0,0.00,0,0,0
11095,2895.75,0,0,0,0,0.00,0,0,0
11145,2977.96,0,0,0,0,0.00,0,0,0
11195,3018.72,0,0,0,0,0.00,0,0,0
11245,3033.98,0,0,0,0,0.00,0,0,0
11295,3055.61,0,0,0,0,0.00,0,0,0
11345,3138.08,0,0,0,0,0.00,0,0,0
11395,3185.39,0,0,0,0,0.00,0,0,0
11445,3161.22,0,0,0,0,0.00,0,0,0
11495,3186.07,0,0,0,0,0.00,0,0,0
11545,3225.81,0,0,0,0,0.00,0,0,0
11595,3209.93,0,0,0,0,0.00,0,0,0
11645,3242.54,0,0,0,0,0.00,0,0,0
11695,3284.43,0,0,0,0,0.00,0,0,0
11745,3209.24,0,0,0,0,0.00,0,0,0
11795,3291.64,0,0,0,0,0.00,0,0,0
11845,3300.33,0,0,0,0,0.00,0,0,0
11895,3241.84,0,0,0,0,0.00,0,0,0
11945,3317.85,0,0,0,0,0.00,0,0,0
11995,3300.33,0,0,0,0,0.00,0,0,0
12045,3327.42,0,0,0,0,0.00,0,0,0
12095,3387.53,0,0,0,0,0.00,0,0,0
12145,3309.07,0,0,0,0,0.00,0,0,0
12195,3352.70,0,0,0,0,0.00,0,0,0
12246,3344.48,0,0,0,0,0.00,0,0,0
12296,3344.48,0,0,0,0,0.00,0,0,0
12346,3386.77,0,0,0,0,0.00,0,0,0
12396,3387.53,0,0,0,0,0.00,0,0,0
12446,3415.30,0,0,0,0,0.00,0,0,0
12496,3406.77,0,0,0,0,0.00,0,0,0
12546,3488.37,0,0,0,0,0.00,0,0,0
12596,3457.02,0,0,0,0,0.00,0,0,0
12646,3414.52,0,0,0,0,0.00,0,0,0
12696,3452.24,0,0,0,0,0.00,0,0,0
12746,3452.24,0,0,0,0,0.00,0,0,0
12796,3470.62,0,0,0,0,0.00,0,0,0
12846,3470.62,0,0,0,0,0.00,0,0,0
12896,3518.65,0,0,0,0,0.00,0,0,0
12946,3460.21,0,0,0,0,0.00,0,0,0
12996,3466.60,0,0,0,0,0.00,0,0,0
13046,3518.65,0,0,0,0,0.00,0,0,0
13096,3452.24,0,0,0,0,0.00,0,0,0
13146,3510.41,0,0,0,0,0.00,0,0,0
13196,3490.00,0,0,0,0,0.00,0,0,0
13246,3528.58,0,0,0,0,0.00,0,0,0
13296,3510.41,0,0,0,0,0.00,0,0,0
13346,3559.56,0,0,0,0,0.00,0,0,0
13396,3518.65,0,0,0,0,0.00,0,0,0
13446,3557.87,0,0,0,0,0.00,0,0,0
13496,3539.41,0,0,0,0,0.00,0,0,0
13546,3549.46,0,0,0,0,0.00,0,0,0
13596,3557.87,0,0,0,0,0.00,0,0,0
13646,3553.66,0,0,0,0,0.00,0,0,0
13696,3593.67,0,0,0,0,0.00,0,0,0
13746,3546.94,0,0,0,0,0.00,0,0,0
13796,3537.74,0,0,0,0,0.00,0,0,0
13846,3537.74,0,0,0,0,0.00,0,0,0
13896,3529.41,0,0,0,0,0.00,0,0,0
13946,3528.58,0,0,0,0,0.00,0,0,0
13996,3549.46,0,0,0,0,0.00,0,0,0
14046,3481.09,0,0,0,0,0.00,0,0,0
14096,3528.58,0,0,0,0,0.00,0,0,0
14146,3488.37,0,0,0,0,0.00,0,0,0
14196,3508.77,0,0,0,0,0.00,0,0,0
14246,3470.62,0,0,0,0,0.00,0,0,0
14296,3490.00,0,0,0,0,0.00,0,0,0
14346,3503.85,0,0,0,0,0.00,0,0,0
14396,3480.28,0,0,0,0,0.00,0,0,0
14446,3537.74,0,0,0,0,0.00,0,0,0
14496,3528.58,0,0,0,0,0.00,0,0,0
14546,3548.62,0,0,0,0,0.00,0,0,0
14596,3510.41,0,0,0,0,0.00,0,0,0
14646,3538.57,0,0,0,0,0.00,0,0,0
14696,3538.57,0,0,0,0,0.00,0,0,0
14746,3577.39,0,0,0,0,0.00,0,0,0
14796,3557.87,0,0,0,0,0.00,0,0,0
14846,3558.72,0,0,0,0,0.00,0,0,0
14896,3537.74,0,0,0,0,0.00,0,0,0
14946,3566.33,0,0,0,0,0.00,0,0,0
14996,3548.62,0,0,0,0,0.00,0,0,0
15046,3578.24,0,0,0,0,0.00,0,0,0
15096,3546.94,0,0,0,0,0.00,0,0,0
15147,3539.41,0,0,0,0,0.00,0,0,0
15197,3557.87,0,0,0,0,0.00,0,0,0
15247,3553.66,0,0,0,0,0.00,0,0,0
15297,3613.59,0,0,0,0,0.00,0,0,0
15347,3531.90,0,0,0,0,0.00,0,0,0
15397,3591.95,0,0,0,0,0.00,0,0,0
15447,3562.10,0,0,0,0,0.00,0,0,0
15497,3557.03,0,0,0,0,0.00,0,0,0
15547,3548.62,0,0,0,0,0.00,0,0,0
15597,3608.37,0,0,0,0,0.00,0,0,0
15647,3547.78,0,0,0,0,0.00,0,0,0
15697,3547.78,0,0,0,0,0.00,0,0,0
15747,3471.42,0,0,0,0,0.00,0,0,0
15797,3577.39,0,0,0,0,0.00,0,0,0
15847,3538.57,0,0,0,0,0.00,0,0,0
15897,3577.39,0,0,0,0,0.00,0,0,0
15947,3557.87,0,0,0,0,0.00,0,0,0
15997,3568.03,0,0,0,0,0.00,0,0,0
16047,3508.77,0,0,0,0,0.00,0,0,0
