------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.030000   Ki: 0.000000   Kd: 12.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
8546,3663.90,0,-1,0,0,-42.46
8596,3617.94,0,0,0,0,12.26
8646,3594.54,0,0,0,0,18.18
8696,3576.54,0,0,0,0,26.63
8747,3606.64,0,0,0,0,-24.97
8797,3560.41,0,1,0,0,30.69
8847,3599.71,0,0,0,0,-32.53
8897,3550.30,0,1,0,0,27.95
8947,3531.07,1,2,0,0,9.17
8997,3538.57,0,1,0,0,20.99
9047,3588.52,0,0,0,0,-36.54
9097,3519.47,0,2,0,0,22.44
9147,3596.26,0,0,0,0,-51.00
9197,3583.37,0,0,0,0,26.74
9247,3648.75,0,-1,0,0,-55.93
9297,3620.56,0,0,0,0,23.75
9347,3654.08,0,-1,0,0,-24.76
9397,3631.96,0,0,0,0,23.01
9447,3662.11,0,-1,0,0,-24.86
9497,3632.84,0,0,0,0,23.02
9547,3625.82,0,0,0,0,1.75
9597,3617.94,0,0,0,0,13.14
9647,3624.06,0,0,0,0,-13.96
9697,3600.58,0,0,0,0,29.63
9747,3631.96,0,0,0,0,-33.98
9797,3610.11,0,0,0,0,35.09
9847,3597.12,0,0,0,0,-28.24
9897,3594.54,0,0,0,0,13.83
9947,3580.81,0,0,0,0,11.15
9997,3578.24,0,0,0,0,24.93
10047,3582.52,0,0,0,0,0.00
10097,3568.03,0,1,0,0,25.64
10147,3599.71,0,0,0,0,-22.32
10198,3532.74,0,0,0,0,7.50
10248,3576.54,0,0,0,0,-26.24
10298,3562.10,0,1,0,0,33.30
10348,3601.44,0,1,0,0,-44.41
10398,3574.83,0,0,0,0,37.88
10448,3571.43,0,0,0,0,14.51
10498,3562.95,0,1,0,0,23.00
10548,3604.04,0,0,0,0,-41.94
10598,3589.38,0,0,0,0,22.47
10648,3612.72,0,0,0,0,-23.34
10698,3614.46,0,0,0,0,17.50
10748,3655.86,0,-1,0,0,-27.41
10798,3631.08,0,0,0,0,29.24
10848,3631.08,0,0,0,0,-33.96
10898,3609.24,0,0,0,0,27.12
10948,3586.80,0,0,0,0,32.02
10998,3554.50,0,1,0,0,20.33
11048,3605.77,0,0,0,0,-41.98
11098,3584.23,0,0,0,0,17.21
11148,3596.26,0,0,0,0,-40.07
11198,3595.40,0,0,0,0,26.04
11248,3619.69,0,0,0,0,-40.59
11298,3607.50,0,0,0,0,21.82
11348,3663.00,0,-1,0,0,-44.19
11398,3638.13,0,-1,0,0,24.88
11448,3679.18,0,-2,0,0,-25.99
11498,3631.08,0,0,0,0,16.78
11548,3618.82,0,0,0,0,14.90
11598,3589.38,0,0,0,0,19.00
11648,3622.31,0,0,0,0,-34.66
11698,3583.37,0,0,0,0,15.48
11748,3573.98,0,0,0,0,8.54
11798,3570.58,0,0,0,0,26.54
11848,3606.64,0,0,0,0,-50.45
11898,3585.94,0,0,0,0,23.30
11948,3582.52,0,0,0,0,-4.27
11998,3554.50,0,1,0,0,23.74
12048,3577.39,0,0,0,0,-22.05
12098,3536.90,0,1,0,0,31.98
12148,3575.69,0,0,0,0,-32.10
12198,3554.50,0,1,0,0,14.38
12248,3538.57,0,1,0,0,15.09
12298,3553.66,0,1,0,0,-33.36
12348,3629.32,0,0,0,0,99.24
12398,3610.98,0,0,0,0,112.96
12448,3610.98,0,0,0,0,163.56
12499,3638.13,0,-1,0,0,24.88
12549,3657.64,0,-1,0,0,-15.10
12599,3628.45,0,0,0,0,24.74
12649,3655.86,0,-1,0,0,-24.78
12699,3647.86,0,-1,0,0,17.83
12749,3686.41,0,-2,0,0,-33.22
12800,3668.38,0,-2,0,0,36.24
12850,3655.86,0,-1,0,0,-25.66
12900,3619.69,0,0,0,0,32.61
12950,3646.09,0,-1,0,0,-24.65
13000,3637.25,0,-1,0,0,27.55
13050,3619.69,0,0,0,0,14.03
13100,3599.71,0,-1,0,0,36.65
13150,3633.72,0,-1,0,0,-24.48
13200,3572.28,0,0,0,0,25.71
13250,3599.71,0,0,0,0,-22.32
13300,3541.08,0,1,0,0,17.64
13350,3577.39,0,0,0,0,-36.31
13400,3498.13,0,3,0,0,30.45
13450,3543.59,0,1,0,0,-36.45
13500,3527.75,0,2,0,0,35.19
13550,3538.57,0,1,0,0,-4.17
13600,3520.30,1,2,0,0,20.78
13650,3521.13,0,2,0,0,19.95
13700,29126.22,-752,-765,0,0,-25456.04
13750,3571.43,0,0,0,0,90.68
13800,3604.90,0,0,0,0,-43.65
13850,3567.18,0,0,0,0,32.53
13900,3585.09,0,0,0,0,-30.58
13950,3530.24,0,2,0,0,20.05
14000,3571.43,0,0,0,0,-41.19
14050,3553.66,0,1,0,0,29.71
14100,3606.64,0,0,0,0,-71.40
14150,3561.25,0,1,0,0,33.28
14200,3597.12,0,0,0,0,-42.62
14251,3573.98,0,0,0,0,19.69
14301,3591.09,0,0,0,0,-4.29
14351,3585.94,0,0,0,0,26.77
14401,3621.44,0,0,0,0,-23.45
14451,3607.50,0,0,0,0,21.82
14501,3631.08,0,0,0,0,-14.88
14551,3606.64,0,0,0,0,20.06
14601,3645.20,0,-1,0,0,-37.70
14651,3619.69,0,0,0,0,36.17
14701,3615.33,0,0,0,0,3.49
14751,3605.77,0,0,0,0,25.31
14801,3636.36,0,-1,0,0,-9.67
14851,3611.85,0,0,0,0,33.35
14901,3616.20,0,0,0,0,-31.97
