------ Microcontroller Engine Govehange
------ Microcontroller Engine Governor - Version: 1.14 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.030000   Ki: 0.000000   Kd: 12.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         800     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
7643,3621.44,0,0,0,0,24.65
7693,3622.31,0,0,0,0,-22.60
7743,3616.20,0,0,0,0,14.88
7793,3607.50,0,0,0,0,5.21
7843,3598.85,0,0,0,0,32.23
7894,3645.20,0,-1,0,0,-44.62
7944,3632.84,0,0,0,0,23.02
7994,3636.36,0,-1,0,0,-24.52
8044,3602.31,0,0,0,0,34.06
8094,3621.44,0,0,0,0,0.00
8144,3597.98,0,0,0,0,33.10
8194,3595.40,0,0,0,0,-29.91
8244,3573.98,0,0,0,0,18.83
8294,3593.67,0,0,0,0,-20.54
8344,3521.95,0,2,0,0,33.39
8394,3606.64,0,0,0,0,-54.66
8444,3546.94,0,1,0,0,20.24
8494,3582.52,0,0,0,0,-37.26
8544,3513.70,0,2,0,0,27.37
8594,3558.72,0,1,0,0,-30.97
8644,3546.94,0,1,0,0,33.87
8694,3588.52,0,0,0,0,-38.22
8744,3579.95,0,0,0,0,28.42
8794,3633.72,0,-1,0,0,-38.32
8844,3621.44,0,0,0,0,19.34
8894,3673.77,0,-2,0,0,-41.81
8944,3648.75,0,-1,0,0,40.38
8994,3688.22,0,-2,0,0,-33.25
9044,3639.89,0,-1,0,0,21.32
9094,3669.28,0,-2,0,0,-23.19
9144,3645.20,0,-1,0,0,33.98
9194,3644.31,0,-1,0,0,-45.47
9244,3631.08,0,0,0,0,27.45
9294,3614.46,0,0,0,0,-31.08
9344,3558.72,0,1,0,0,43.59
9394,3540.24,0,1,0,0,15.10
9444,3521.95,1,2,0,0,30.02
9494,3552.82,0,1,0,0,-21.75
9544,3541.91,0,1,0,0,28.67
9594,3577.39,0,0,0,0,-31.29
9644,3567.18,0,0,0,0,18.76
9694,3595.40,0,0,0,0,-14.59
9744,3570.58,0,0,0,0,33.46
9794,3619.69,0,0,0,0,-44.01
9844,3591.95,0,0,0,0,28.61
9894,3654.97,0,-1,0,0,-38.77
9944,3616.20,0,0,0,0,29.89
9994,3646.09,0,-1,0,0,-22.90
10044,3584.23,0,0,0,0,32.84
10094,3618.82,0,0,0,0,-55.03
10144,3597.98,0,0,0,0,14.73
10194,3612.72,0,0,0,0,-14.73
10244,3610.98,0,0,0,0,25.39
10294,3627.57,0,0,0,0,-38.19
10344,3596.26,0,0,0,0,38.34
10394,3611.85,0,0,0,0,-14.72
10444,3603.17,0,0,0,0,27.03
10494,3610.98,0,0,0,0,-22.46
10544,3589.38,0,0,0,0,30.32
10594,3612.72,0,0,0,0,-34.47
10644,3567.18,0,0,0,0,26.49
10694,3583.37,0,0,0,0,-8.54
10744,3579.10,0,0,0,0,24.07
10795,3577.39,0,0,0,0,23.19
10845,3821.66,0,-6,0,0,-91.24
10895,3636.36,0,-1,0,0,-24.52
10945,3621.44,0,0,0,0,33.53
10995,3665.69,0,-1,0,0,-34.61
11045,3640.78,0,-1,0,0,19.55
11095,3709.20,-1,-3,0,0,-53.34
11145,3690.04,0,-2,0,0,25.59
11195,3735.06,0,-4,0,0,-35.92
11245,3700.05,0,-3,0,0,20.19
11295,3675.57,0,-2,0,0,13.56
11345,3631.08,0,0,0,0,18.55
11395,3650.52,0,-1,0,0,-16.80
11445,3606.64,0,0,0,0,39.45
11495,3604.90,0,0,0,0,-39.42
11545,3568.88,0,0,0,0,34.29
11595,3552.82,0,1,0,0,-22.58
11645,3513.70,0,2,0,0,39.12
11695,3528.58,0,2,0,0,-33.71
11745,3499.77,0,3,0,0,36.30
