----g, PID p, PID i, PID d, RPM Change
------ Microcontroller Engine Governor - Version: 1.16 ------
-------------------------------------------------------------
PID Gains:        Kp: 0.020000   Ki: 0.005000   Kd: 8.000000
-------------------------------------------------------------
Set RPM:             3600    |  Min RPM:                300
                             |
RPM Precision        2       |  PID I Precision:         202
                             |
Start Steps:         850     |  Max Steps:               1200
                             |
RPM Calc Interval:   1       |  Num Magnets:             1
                             |
LCD Update Interval: 400     |  Serial Update Interval:  50
-------------------------------------------------------------

Time,RPM,Steps Remaining, PID p, PID i, PID d, RPM Change
8797,3562.95,0,0,0,0,26.43
8847,3601.44,0,0,0,0,20.52
8897,3586.80,0,0,0,0,23.31
8947,3631.96,0,0,0,0,-54.57
8997,3581.66,0,0,0,0,9.43
9047,3610.98,0,0,0,0,-24.18
9097,3586.80,0,0,0,0,32.89
9147,3614.46,0,0,0,0,-8.69
9197,3605.77,0,0,0,0,37.66
9247,3631.96,0,0,0,0,-26.19
9297,3619.69,0,0,0,0,33.50
9347,3646.97,0,0,0,0,-17.65
9397,3624.94,0,0,0,0,18.49
9447,3663.00,0,-1,0,0,-38.06
9497,3615.33,0,0,0,0,19.27
9547,3654.08,0,-1,0,0,-40.49
9597,3634.60,0,0,0,0,8.83
9647,3663.90,0,-1,0,0,-34.57
9697,3657.64,0,-1,0,0,16.12
9747,3640.78,0,0,0,0,16.87
9797,3629.32,0,0,0,0,33.68
9847,3653.19,0,-1,0,0,-37.86
9897,3619.69,0,0,0,0,33.50
9947,3618.82,0,0,0,0,-46.54
9997,3562.10,0,0,0,0,20.42
10047,3600.58,0,0,0,0,29.85
10097,3586.80,0,0,0,0,23.31
10147,3599.71,0,0,0,0,32.87
10198,3570.58,0,0,0,0,30.00
10248,3566.33,0,0,0,0,-36.92
10298,3552.82,0,0,0,0,33.12
10348,3484.32,0,2,0,0,17.90
10398,3494.06,0,2,0,0,11.43
10448,3548.62,0,1,0,0,-46.40
10498,3520.30,0,1,0,0,9.11
10548,3543.59,0,1,0,0,-23.29
10598,3552.82,0,0,0,0,14.36
10648,3601.44,0,0,0,0,27.28
10698,3586.80,0,0,0,0,32.89
